Rank,Team,GM,Opp TO,Avg
1,West Virginia (Big 12),31,657,21.19
2,Fordham (Atlantic 10),31,546,17.61
3,The Citadel (Southern),33,579,17.55
4,South Carolina (Southeastern),31,539,17.39
5,Grambling (Southwestern),32,553,17.28
6,Portland St. (Big Sky),30,508,16.93
7,CSU Bakersfield (Western Athletic),29,488,16.83
8,Ark.-Pine Bluff (Southwestern),32,535,16.72
9,SFA (Southland),30,500,16.67
10,Sam Houston St. (Southland),32,533,16.66
11,UNC Asheville (Big South),32,532,16.63
12,Robert Morris (Northeast),33,547,16.58
13,New Orleans (Southland),29,475,16.38
14,Eastern Mich. (Mid-American),32,522,16.31
15,UTRGV (Western Athletic),31,505,16.29
16,South Ala. (Sun Belt),32,520,16.25
17,A&M-Corpus Chris (Southland),29,467,16.1
18,Lamar University (Southland),32,514,16.06
19,Savannah St. (Mid-Eastern),29,461,15.9
20,Holy Cross (Patriot),32,508,15.88
21,Brown (Ivy League),30,474,15.8
22,Eastern Ill. (OVC),29,458,15.79
23,Tennessee St. (OVC),30,471,15.7
24,Southeast Mo. St. (OVC),33,518,15.7
25,Cleveland St. (Horizon),31,484,15.61
26,Lipscomb (ASUN),33,514,15.58
27,ETSU (Southern),34,529,15.56
28,Navy (Patriot),32,496,15.5
29,Kansas St. (Big 12),31,480,15.48
30,North Dakota (Big Sky),28,433,15.46
31,St. John's (NY) (Big East),32,494,15.44
32,Oklahoma St. (Big 12),31,478,15.42
33,Nicholls St. (Southland),31,475,15.32
34,Prairie View (Southwestern),33,502,15.21
35,Southeastern La. (Southland),32,486,15.19
36,Florida (Southeastern),31,469,15.13
37,Miami (OH) (Mid-American),32,484,15.13
38,VCU (Atlantic 10),31,468,15.1
39,Louisiana (Sun Belt),32,483,15.09
40,Dayton (Atlantic 10),30,452,15.07
41,Green Bay (Horizon),31,467,15.06
42,Auburn (Southeastern),32,482,15.06
43,Canisius (Metro Atlantic),33,497,15.06
44,Omaha (Summit League),32,481,15.03
45,Gardner-Webb (Big South),33,496,15.03
46,Northern Ill. (Mid-American),32,478,14.94
47,Iowa St. (Big 12),30,448,14.93
48,Mt. St. Mary's (Northeast),34,507,14.91
49,Chattanooga (Southern),31,462,14.9
50,Loyola Marymount (West Coast),30,447,14.9
51,Penn St. (Big Ten),32,474,14.81
52,Boston U. (Patriot),32,473,14.78
53,Bowling Green (Mid-American),32,472,14.75
54,Kentucky (Southeastern),31,457,14.74
55,Fresno St. (Mountain West),30,442,14.73
56,Detroit Mercy (Horizon),31,456,14.71
56,UMKC (Western Athletic),31,456,14.71
58,St. Bonaventure (Atlantic 10),30,441,14.7
58,Morehead St. (OVC),30,441,14.7
60,Manhattan (Metro Atlantic),32,469,14.66
60,Jacksonville (ASUN),32,469,14.66
60,Tennessee Tech (OVC),32,469,14.66
63,UNCW (Colonial),34,498,14.65
64,Northwestern St. (Southland),29,424,14.62
65,Monmouth (Metro Atlantic),33,482,14.61
66,Bethune-Cookman (Mid-Eastern),32,467,14.59
67,Morgan St. (Mid-Eastern),29,423,14.59
67,Hampton (Mid-Eastern),29,423,14.59
69,Georgia St. (Sun Belt),30,437,14.57
70,Florida St. (Atlantic Coast),31,450,14.52
71,Oakland (Horizon),32,464,14.5
72,Loyola Maryland (Patriot),31,448,14.45
72,Iowa (Big Ten),31,448,14.45
74,Massachusetts (Atlantic 10),32,462,14.44
74,Wright St. (Horizon),32,462,14.44
76,Kent St. (Mid-American),32,461,14.41
76,UMES (Mid-Eastern),32,461,14.41
78,Cal St. Fullerton (Big West),29,416,14.34
79,Loyola Chicago (Missouri Valley),32,459,14.34
80,Columbia (Ivy League),27,387,14.33
81,Fort Wayne (Summit League),31,444,14.32
81,UT Arlington (Sun Belt),31,444,14.32
81,Stanford (Pac-12),31,444,14.32
84,Sacred Heart (Northeast),32,458,14.31
85,Richmond (Atlantic 10),30,429,14.3
86,Ole Miss (Southeastern),31,442,14.26
87,Delaware St. (Mid-Eastern),32,456,14.25
87,Mississippi Val. (Southwestern),32,456,14.25
89,Florida A&M (Mid-Eastern),30,426,14.2
90,Mississippi St. (Southeastern),31,440,14.19
91,Liberty (Big South),32,454,14.19
92,Tulane (AAC),30,424,14.13
93,Louisiana Tech (Conference USA),31,438,14.13
93,UC Davis (Big West),31,438,14.13
95,Cincinnati (AAC),31,436,14.06
96,Winthrop (Big South),32,450,14.06
97,Utah Valley (Western Athletic),29,407,14.03
98,Oregon (Pac-12),31,435,14.03
99,Hawaii (Big West),29,406,14
99,San Jose St. (Mountain West),29,406,14
101,Wichita St. (Missouri Valley),34,475,13.97
102,St. Francis Brooklyn (Northeast),31,433,13.97
102,Providence (Big East),31,433,13.97
104,Creighton (Big East),31,432,13.94
104,Tennessee (Southeastern),31,432,13.94
106,Texas St. (Sun Belt),30,418,13.93
107,Bucknell (Patriot),34,473,13.91
108,Long Beach St. (Big West),32,445,13.91
109,Louisville (Atlantic Coast),31,431,13.9
110,Missouri (Southeastern),31,430,13.87
110,Ga. Southern (Sun Belt),31,430,13.87
112,DePaul (Big East),32,443,13.84
113,UNI (Missouri Valley),30,415,13.83
114,Eastern Ky. (OVC),31,428,13.81
115,Alabama (Southeastern),30,414,13.8
115,Houston (AAC),30,414,13.8
117,UNCG (Southern),34,469,13.79
118,Jackson St. (Southwestern),32,441,13.78
119,Charlotte (Conference USA),30,413,13.77
120,UT Martin (OVC),33,454,13.76
121,Penn (Ivy League),27,371,13.74
122,Southern Ill. (Missouri Valley),33,453,13.73
123,North Carolina (Atlantic Coast),32,438,13.69
123,IUPUI (Summit League),32,438,13.69
125,N.C. Central (Mid-Eastern),31,424,13.68
125,Chicago St. (Western Athletic),31,424,13.68
127,Fairleigh Dickinson (Northeast),30,410,13.67
128,Houston Baptist (Southland),29,396,13.66
128,Seattle U (Western Athletic),29,396,13.66
130,Memphis (AAC),31,423,13.65
131,New Mexico St. (Western Athletic),30,409,13.63
132,Princeton (Ivy League),27,368,13.63
133,Nebraska (Big Ten),31,422,13.61
134,Coppin St. (Mid-Eastern),33,449,13.61
134,South Dakota (Summit League),33,449,13.61
136,Clemson (Atlantic Coast),32,435,13.59
136,Texas Tech (Big 12),32,435,13.59
138,Austin Peay (OVC),30,407,13.57
139,LIU Brooklyn (Northeast),32,434,13.56
140,Central Conn. St. (Northeast),29,392,13.52
140,Ohio (Mid-American),29,392,13.52
142,High Point (Big South),31,419,13.52
143,New Mexico (Mountain West),30,405,13.5
143,Furman (Southern),32,432,13.5
143,Arizona St. (Pac-12),32,432,13.5
143,Saint Francis (PA) (Northeast),32,432,13.5
147,Rider (Metro Atlantic),33,445,13.48
148,Syracuse (Atlantic Coast),32,431,13.47
148,Western Caro. (Southern),32,431,13.47
150,Rhode Island (Atlantic 10),30,404,13.47
151,UC Riverside (Big West),27,363,13.44
152,Butler (Big East),30,403,13.43
153,Oklahoma (Big 12),31,416,13.42
153,NJIT (ASUN),31,416,13.42
155,Montana St. (Big Sky),32,429,13.41
156,Kansas (Big 12),31,415,13.39
156,Middle Tenn. (Conference USA),31,415,13.39
158,Little Rock (Sun Belt),32,428,13.38
159,Marshall (Conference USA),32,427,13.34
160,Saint Peter's (Metro Atlantic),32,426,13.31
160,Rice (Conference USA),32,426,13.31
162,Western Mich. (Mid-American),31,412,13.29
163,Texas Southern (Southwestern),32,425,13.28
164,Marquette (Big East),30,398,13.27
164,North Texas (Conference USA),30,398,13.27
166,Towson (Colonial),33,437,13.24
167,McNeese (Southland),29,384,13.24
168,Iona (Metro Atlantic),34,449,13.21
169,American (Patriot),30,396,13.2
170,Wisconsin (Big Ten),31,409,13.19
171,San Francisco (West Coast),32,422,13.19
172,South Fla. (AAC),29,382,13.17
173,Arkansas St. (Sun Belt),32,421,13.16
174,Vermont (America East),33,434,13.15
174,Murray St. (OVC),33,434,13.15
176,Villanova (Big East),31,407,13.13
177,UMBC (America East),30,393,13.1
178,Hartford (America East),32,419,13.09
178,TCU (Big 12),32,419,13.09
178,Lehigh (Patriot),32,419,13.09
181,SIUE (OVC),30,392,13.07
182,Alcorn (Southwestern),30,391,13.03
183,Stony Brook (America East),31,404,13.03
184,Bradley (Missouri Valley),33,430,13.03
185,Rutgers (Big Ten),32,416,13
185,Virginia (Atlantic Coast),31,403,13
185,Old Dominion (Conference USA),30,390,13
188,Arkansas (Southeastern),31,402,12.97
188,Idaho St. (Big Sky),31,402,12.97
190,Lafayette (Patriot),30,389,12.97
190,VMI (Southern),30,389,12.97
192,Minnesota (Big Ten),31,401,12.94
193,Fla. Atlantic (Conference USA),30,388,12.93
194,Northern Colo. (Big Sky),29,375,12.93
195,FGCU (ASUN),33,426,12.91
196,Indiana St. (Missouri Valley),31,400,12.9
196,Ball St. (Mid-American),31,400,12.9
198,CSUN (Big West),29,374,12.9
199,Harvard (Ivy League),27,348,12.89
200,San Diego St. (Mountain West),31,399,12.87
201,Georgia Tech (Atlantic Coast),32,411,12.84
202,Buffalo (Mid-American),31,398,12.84
203,Valparaiso (Horizon),32,410,12.81
204,Michigan (Big Ten),31,397,12.81
205,Illinois St. (Missouri Valley),33,422,12.79
206,Notre Dame (Atlantic Coast),31,395,12.74
207,Appalachian St. (Sun Belt),30,382,12.73
207,Tulsa (AAC),30,382,12.73
209,Bryant (Northeast),32,407,12.72
209,Army West Point (Patriot),32,407,12.72
211,Quinnipiac (Metro Atlantic),31,394,12.71
212,Evansville (Missouri Valley),33,419,12.7
213,Southern California (Pac-12),31,393,12.68
214,Longwood (Big South),30,380,12.67
215,Drexel (Colonial),32,405,12.66
216,Saint Joseph's (Atlantic 10),31,392,12.65
216,Illinois (Big Ten),31,392,12.65
216,Alabama St. (Southwestern),31,392,12.65
219,Charleston So. (Big South),31,391,12.61
219,Montana (Big Sky),31,391,12.61
221,Fairfield (Metro Atlantic),30,378,12.6
222,Southern Utah (Big Sky),32,403,12.59
223,Temple (AAC),31,390,12.58
224,Air Force (Mountain West),32,402,12.56
225,Samford (Southern),34,427,12.56
226,South Carolina St. (Mid-Eastern),31,389,12.55
227,Col. of Charleston (Colonial),34,426,12.53
228,Gonzaga (West Coast),33,413,12.52
228,Troy (Sun Belt),33,413,12.52
228,Ill.-Chicago (Horizon),33,413,12.52
231,Wyoming (Mountain West),32,400,12.5
231,Texas (Big 12),32,400,12.5
233,Howard (Mid-Eastern),33,412,12.48
233,Wofford (Southern),33,412,12.48
235,UTSA (Conference USA),32,399,12.47
235,Kennesaw St. (ASUN),32,399,12.47
235,Duquesne (Atlantic 10),32,399,12.47
238,Maryland (Big Ten),31,386,12.45
239,Boston College (Atlantic Coast),32,398,12.44
239,Central Mich. (Mid-American),32,398,12.44
241,UTEP (Conference USA),30,373,12.43
242,Santa Clara (West Coast),33,410,12.42
243,Drake (Missouri Valley),31,385,12.42
244,Idaho (Big Sky),29,360,12.41
244,La Salle (Atlantic 10),29,360,12.41
246,Southern U. (Southwestern),32,397,12.41
247,Norfolk St. (Mid-Eastern),31,383,12.35
247,LSU (Southeastern),31,383,12.35
249,Weber St. (Big Sky),29,358,12.34
250,Duke (Atlantic Coast),32,395,12.34
251,Seton Hall (Big East),30,370,12.33
251,BYU (West Coast),33,407,12.33
253,Youngstown St. (Horizon),34,418,12.29
254,Xavier (Big East),32,393,12.28
255,Utah (Pac-12),30,368,12.27
256,North Dakota St. (Summit League),30,367,12.23
257,Georgetown (Big East),32,391,12.22
258,Northern Ky. (Horizon),34,415,12.21
259,Wagner (Northeast),30,366,12.2
260,Arizona (Pac-12),31,378,12.19
261,Colorado (Pac-12),32,390,12.19
262,Yale (Ivy League),27,329,12.19
263,Siena (Metro Atlantic),34,414,12.18
264,UCLA (Pac-12),31,377,12.16
265,Campbell (Big South),34,413,12.15
266,Davidson (Atlantic 10),29,352,12.14
267,Washington (Pac-12),30,364,12.13
268,Northern Ariz. (Big Sky),32,386,12.06
268,Ohio St. (Big Ten),32,386,12.06
270,Georgia (Southeastern),31,373,12.03
271,Cal Poly (Big West),30,360,12
271,Purdue (Big Ten),31,372,12
271,North Florida (ASUN),34,408,12
274,Northwestern (Big Ten),31,371,11.97
275,Oral Roberts (Summit League),30,358,11.93
276,Miami (FL) (Atlantic Coast),31,369,11.9
277,SMU (AAC),31,368,11.87
278,Texas A&M (Southeastern),30,355,11.83
279,Boise St. (Mountain West),29,343,11.83
280,Albany (NY) (America East),33,390,11.82
280,James Madison (Colonial),33,390,11.82
282,Colgate (Patriot),32,378,11.81
283,UNLV (Mountain West),32,377,11.78
284,Virginia Tech (Atlantic Coast),31,365,11.77
285,Oregon St. (Pac-12),32,376,11.75
286,Milwaukee (Horizon),35,410,11.71
287,Colorado St. (Mountain West),31,363,11.71
288,Belmont (OVC),28,327,11.68
289,Southern Miss. (Conference USA),31,362,11.68
290,Binghamton (America East),32,373,11.66
291,UC Santa Barbara (Big West),28,326,11.64
292,Pacific (West Coast),33,383,11.61
292,Niagara (Metro Atlantic),33,383,11.61
294,Presbyterian (Big South),30,348,11.6
295,Maine (America East),32,371,11.59
296,Northeastern (Colonial),31,359,11.58
297,Stetson (ASUN),32,370,11.56
298,FIU (Conference USA),31,358,11.55
299,Portland (West Coast),33,381,11.55
300,UAB (Conference USA),32,369,11.53
300,Wake Forest (Atlantic Coast),32,369,11.53
302,Coastal Caro. (Sun Belt),32,368,11.5
303,Nevada (Mountain West),31,355,11.45
304,South Dakota St. (Summit League),34,389,11.44
305,Central Ark. (Southland),32,366,11.44
306,Akron (Mid-American),31,353,11.39
307,Indiana (Big Ten),31,351,11.32
308,North Carolina St. (Atlantic Coast),32,361,11.28
309,East Carolina (AAC),31,349,11.26
310,Missouri St. (Missouri Valley),33,371,11.24
311,Saint Louis (Atlantic 10),32,359,11.22
312,Baylor (Big 12),31,347,11.19
312,California (Pac-12),31,347,11.19
314,La.-Monroe (Sun Belt),32,357,11.16
315,Cornell (Ivy League),29,323,11.14
316,Michigan St. (Big Ten),31,343,11.06
316,William & Mary (Colonial),31,343,11.06
318,Elon (Colonial),32,353,11.03
319,Jacksonville St. (OVC),34,375,11.03
320,Utah St. (Mountain West),29,318,10.97
321,Marist (Metro Atlantic),32,350,10.94
322,Eastern Wash. (Big Sky),31,338,10.9
323,Dartmouth (Ivy League),27,294,10.89
324,Pepperdine (West Coast),31,337,10.87
325,USC Upstate (ASUN),32,346,10.81
326,Denver (Summit League),30,323,10.77
327,George Washington (Atlantic 10),31,333,10.74
328,Vanderbilt (Southeastern),31,332,10.71
329,Sacramento St. (Big Sky),30,321,10.7
330,Western Ky. (Conference USA),32,342,10.69
331,Hofstra (Colonial),32,339,10.59
332,UC Irvine (Big West),32,336,10.5
332,UConn (AAC),30,315,10.5
332,New Hampshire (America East),32,336,10.5
335,Toledo (Mid-American),32,335,10.47
336,Western Ill. (Summit League),28,289,10.32
337,Mercer (Southern),32,328,10.25
338,Radford (Big South),32,327,10.22
339,Washington St. (Pac-12),31,315,10.16
340,George Mason (Atlantic 10),31,314,10.13
341,San Diego (West Coast),31,311,10.03
342,Delaware (Colonial),33,330,10
343,Pittsburgh (Atlantic Coast),33,322,9.76
344,UCF (AAC),30,292,9.73
345,N.C. A&T (Mid-Eastern),32,311,9.72
346,Alabama A&M (Southwestern),29,272,9.38
347,St. Mary's (CA) (West Coast),32,300,9.38